Arf6	P62331
Arfgap1	Q9EPJ9
Arfgap2	Q99K28
Arfgap3	Q9D8S3
Arfip1	G5E8V9
Arfip2	Q8K221
Arfrp1	Q8BXL7
Cdkn2a	P51480
Arhgef28	P97433
Arhgef33	Q8BW86
Arhgef39	Q66JY6
Arhgef10l	A2AWP8
Arg1	Q61176
Arg2	O08691
Arglu1	Q3UL36
Arhgef37	A1IGU4
Arhgef38	Q80VK6
Arhgef40	Q3UPH7
Arhgef1	Q61210
Arhgef2	Q60875
Arhgef3	Q91X46
Arhgef4	Q7TNR9
Arhgef5	E9Q7D5
Arhgef6	Q8K4I3
Arhgef7	Q9ES28
Net1	Q9Z206
Arhgef9	Q3UTH8
Arhgef10	Q8C033
Arhgef12	Q8R4H2
Arhgef15	Q5FWH6
Arhgef16	Q3U5C8
Arhgef17	Q80U35
Arhgef18	Q6P9R4
Arhgef19	Q8BWA8
Arhgef25	Q9CWR0
Adprhl1	Q8BGK2
Ldlrap1	Q8C142
Arid1a	A2BH40
Arid1b	E9Q4N7
Arih1	Q9Z1K5
Arih2	Q9Z1K6
Arid3a	Q62431
Arid3b	Q9Z1N7
Arid3c	A6PWV5
Arid4a	F8VPQ2
Arid4b	A2CG63
Arid5a	Q3U108
Arid5b	Q8BM75
Arid2	E9Q7E2
Rad54l2	Q99NG0
Ark2c	E9QAU8
ARK2N	Q8BH50
Akr7a2	Q8CG76
Arl10	Q9QXJ4
Arl11	Q6P3A9
Arl14	Q3SXC5
Arl15	Q8BGR6
Arl1	P61211
Arl2	Q9D0J4
Arl3	Q9WUL7
Arl4a	P61213
Arl4c	P61208
Arl4d	Q99PE9
Arl5a	Q80ZU0
Arl5b	Q9D4P0
Arl5c	Q6P068
Arl6	O88848
Arl8a	Q8VEH3
Arl8b	Q9CQW2
Asl	Q91YI0
Armc10	Q9D0L7
Armc12	Q80X86
Armc1	Q9D7A8
Armc2	Q3URY6
Armc3	A2AU72
Armc5	Q5EBP3
Armc6	Q8BNU0
Armc7	Q3UJZ3
Armc8	Q9DBR3
Armc9	Q9D2I5
Armh3	Q6PD19
Armh4	Q8BT18
Armt1	A6H630
Armcx1	Q9CX83
Armcx2	Q6A058
Armcx3	Q8BHS6
Armcx5	Q3UZB0
Armcx6	Q8K3A6
Arnt2	Q61324
Arnt	P53762
Rps19bp1	Q8C6B9
Actr10	Q9QZB7
Arpp19	P56212
Arpp21	Q9DCB4
Actr2	P61161
Actr3b	Q641P0
Actr3	Q99JY9
Arpc5l	Q9D898
Actr5	Q80US4
Actr6	Q9D864
Actr8	Q8R2S9
Arpc2	Q9CVB6
Arpc3	Q9JM76
Arpc4	P59999
Arpc5	Q9CPW4
Arpin	Q9D0A3
Arrb1	Q8BWG8
Arrb2	Q91YI4
Arr3	Q9EQP6
Arrdc1	Q99KN1
Arrdc2	Q9D668
Arrdc3	Q7TPQ9
Arrdc4	A0A0B4J1F4
Arrdc5	Q497K5
Sag	P20443
Arsa	P50428
Arsb	P50429
Arsg	Q3TYD4
Arsi	Q32KI9
Arsj	Q8BM89
Arsk	Q9D2L1
Artn	Q9Z0L2
Arv1	Q9D0U9
Arvcf	P98203
Arxes1	C0HK79
Arxes2	C0HK80
