Accession,luminal protein estrus,luminal protein 0.5,luminal protein 1.5,luminal protein 2.5,luminal protein so estrus,luminal protein so 0.5,luminal protein so 1.5,luminal protein so 2.5
P50446,40402085.66,20863020.75,107293181.6,171828549.3,44681860.66,58627263.72,57565477.52,74291703.15
Q8VDJ3,13979429.06,7869114.828,15403313,15444207.84,16590521.94,13643736.13,20508202.06,14994132.2
P26645,21536655.45,8518279.469,19239065.69,27279667.47,22414869.84,19037057.77,20770210.27,16568957.25
P47754,18989118.66,7567241.469,18096459.99,33186669.91,19454620.03,18194112.24,31230007.09,22069119.13
P68040,49840147.69,22837677.21,45356470.2,67910879.34,61515585.58,47814861.13,74244918,52475167.34
P29699,225336917,117697598.8,230078819,323914346.4,263125522.6,263951507.2,401848405.6,309115496.7
Q3U0V1,20457778.89,8807624.594,23596331.81,38258020.71,22653255.42,18083262.84,31297222.63,27906338.64
A0A498WGD8,15315148.27,6806858.969,15258867.63,23033011.72,17098817.34,16113993.73,28618751.38,19992242.84
E9PZF0,108057410.9,112397147.9,128019962,155623871.7,151297245,150000500,204635191.2,151013458.8
P48758,57805794.31,21222765.37,54816773.13,106878448.2,63012498.98,44003868.05,85002487.58,81933430.77
P07758,321148151.2,177694433.7,441338812.2,538157018.2,408378041.7,371384340.7,696767017.9,524549387.2
Q60854,40473802.73,20943685.05,47745465.48,68140105.88,49581699.78,37032372.48,57575247.66,55935456.14
P80316,62004422.13,39813476.41,62925275.13,78251490.13,70827380.77,64690652.13,79663361.13,67593561.83
Q60710,16886116.78,6485636.141,21782657.39,25440276.94,18381186.41,13435898.17,35272197.66,26412382
Q62318,18363264.75,6471192.574,16437188.54,33580946.52,19948174.05,14497861.87,29781658.38,18189419.35
P05063,86481367.09,36742173.6,163158773.9,181259313.5,79719104.73,74884536.66,123768877.6,166264268.9
P09103,76103980.03,33266487.16,72629347.88,109056407.8,98131743.19,74254044.88,130703304.6,106744787.2
Q3TXS7,18398491.95,9862675.156,21073687.27,24290503.16,21952564.69,15449367.31,21867842.25,16996750.22
P97429,33204355.06,17418560.89,38535878.44,60199438.84,40330381,40998515.53,51896237.63,47925243.41
A2AMW0,36658098.34,15834105.78,41911803.53,72058381.3,42259973.44,32965779.82,76209890.17,51694774.69
Q8CIB5,12616551.36,6070496.813,22218822.35,33696632.34,15984827.35,13578281.95,32095965.74,31012651.08
Q3THS6,13725783.47,5495629.633,12276524.98,18857236.16,16001302.34,13025276.98,19801225.28,13884565.67
Q08642,66068080.89,30413163.63,45644855.28,31138537.51,73740820.92,36593214.21,40919010.66,23435932.48
Q9WVA4,61255403.41,40858742.1,93540028.11,114803077.5,75545598.97,70224442.72,138180865.6,101597642
P11352,55142818.5,24181047.2,54814792.45,72305482.72,74715825.9,43192708.69,69121347.16,60754555.64
Q9CPX4,37590259.56,20011816.32,55527737.8,83166701.1,43930403.31,41157621.75,87647363.72,72342257.22
Q9JHR7,18144646.03,17207759.68,21047168.66,27439331.92,20813266.73,23789085.92,29041456.91,23776886.68
P50396,22722624.2,11564667.27,25652806.42,35103982.31,28443927.63,22257420.81,34078219.45,28711664
Q80X19,16020875.89,35927397.92,16495503.78,17588083.86,16723055.38,97525985.91,22790046.86,18608257.41
