,IU_1.5preg_n1,IU_1.5preg_n2,IU_1.5preg_n3,IA_1.5preg_n1,IA_1.5preg_n2,IA_1.5preg_n3
Gm19863,0.03317637404353393,0.1881224993536181,0.23564341660580823,0.48837163942825285,0.27586675911084824,0.30506664040583703
Tsga10,3.789214502822941,3.7936184116960066,3.9216380024792925,5.305822106847669,5.408081670570411,5.367524616240292
Lipt1,2.6743775898646103,2.5312342430387393,2.3691049691817603,2.6623947594620514,2.6842208484221945,2.62771085583262
Mitd1,3.271530490235019,3.204412234850264,3.3218252015046748,3.1121749103486454,3.1356401203913338,3.077270825959961
Mrpl30,4.222512274346845,4.309728430122887,4.256203494053069,4.160419680011595,4.084253787358713,4.182958402608823
Lyg2,1.0646728420219576,0.8150410032921773,0.9227759851714407,2.6995023813746766,2.8581742205017298,2.484427643553632
Lyg1,0.03317637404353393,0.0,0.0,0.0,0.0,0.0
Txndc9,4.738150783585262,4.656447665978244,4.683985022981281,4.7070101381255665,4.729004011022762,4.789598896157423
Eif5b,5.464666147895206,5.380504470255414,5.402714562390858,5.259570279350095,5.285742147638114,5.262097822668786
Rev1,3.543040246091214,3.4672849303596833,3.3630438926325947,3.3467982057016408,3.195530332833282,3.0661276285523806
Aff3,4.228332218877051,4.281887563921285,4.114911804844035,5.8566620445734285,6.028785809605688,5.94877907233226
Lonrf2,3.8439396683238147,3.4312527466986507,3.5024485523310442,2.2516657395298267,1.5231181857877902,1.5309708736577956
Chst10,5.8034149121286625,6.158959897810776,6.0751828148871185,2.605378428675371,2.5940095476313734,2.6473118088352487
Nms,0.27843912056766656,0.35221695496610356,0.6636836514383792,0.10864708251009561,0.050774384631327385,0.0
Pdcl3,4.696330225771348,4.738549073312323,4.734630395571057,4.076639230181202,4.207944856090032,4.265547990323457
Npas2,4.4311725728316915,4.678493030187608,4.371830937955141,4.428848973605354,4.324757518604996,4.521714203221436
Rpl31,6.361077494885837,6.395330144004079,6.448107162005616,5.902515795046876,5.981438782229433,6.01615310781461
Tbc1d8,4.489828117999949,4.230394741315708,4.3225929446675755,4.3230408792376585,4.1756987411486985,4.274690087492932
Cnot11,4.479347724948242,4.385589661928733,4.383231213079954,4.410945842523335,4.533890921542076,4.432955027002867
Snord89,0.2943722145028301,0.26192261743070966,0.2982515878679137,0.40604996756885225,0.2266377331532273,0.23869837898894014
Rnf149,5.184927030837522,5.298633634484649,5.336905523029195,4.983285392438584,5.003892462853689,5.015176377340266
Creg2,2.386580883257817,2.2776226615849535,2.2855546860235214,3.4038229352483196,3.580458226743114,3.4585499101657757
Rfx8,0.37289605451114516,0.5409332670878484,0.4980544299292475,0.4227396260182669,0.1768632058403702,0.3214673474440701
Gm3646,0.0,0.0567397732173626,0.0,0.0,0.0,0.0
Map4k4,5.396809185586203,5.30767279643723,5.290278795450735,5.248189898320594,5.057326858923214,5.146839553992445
Gm16894,0.16516040423595277,0.11329790020010028,0.04322840321106,0.0,0.050774384631327385,0.0
