Accession	luminal protein 2.5
O08663	7469301.094
Q9DAW9	6023210.109
F8WI14	10807305.88
Q8C878	4254330
Q8JZR2	7696189.156
P16460	58777219.66
Q921M7	6221615.469
O54988	3164620.406
Q9D2V7	3308468.859
Q1HFZ0	22374931.63
Q9WUB3	3013795.313
A2AUD5	29513576.64
Q08091	8695123.063
P62918	25115211.47
O88947	7194019.25
P54728	42300436.75
P26443	5957583.438
Q61656	3825737.813
P61358	25419448.19
Q8BP48	4677331.219
Q8VDM6	7157466.688
O08795	14511313.53
Q3TGS7	128345572
P08121	3329527.219
P28660	29442995.73
Q6A028	6728636.305
P49443	3471616.906
Q61205	120917523.8
P35123	4370559.938
Q8BWT1	673034.5625
Q9ET01	9784293.75
Q9EQU5	51736488.16
P34914	7567083.172
Q9CZ42	5724061.625
Q542V3	3104897.453
Q3UXL1	6462246.297
Q9WTX6	4674458.906
P35505	2372441.188
Q9D0A3	17986109.63
P14206	43352561.38
P70202	7479724.281
Q9DAU7	25989932.91
Q9CR51	6565672.297
P11859	17887622.06
P70697	1915641.125
Q3UEB3	7355485.781
Q9JKX6	1764192.844
Q9Z185	33718066.81
Q60829	57971892.16
Q60737	4085694.371
Q9CWZ3	7505700.75
Q8CGA0	1667421.465
Q9DBZ5	4366119.531
P03987	10363070.94
Q91XU3	2205849.781
P01837	26150301.86
Q9QYC0	2262529
Q9CXA2	2783235.531
Q8R1F1	9109830.172
E9PUM4	3984875.266
Q6PDI5	2085313.859
P62317	10212623.81
P46638	56389913.38
P45700	459117.0547
P49710	4593158.781
Q99LD8	23798581.94
E9Q7G0	637735.625
P16110	10231268.59
Q9CQM5	27606342.31
P05202	8862779
Q07968	4768311.781
P99027	34143355.5
E9PX96	9237168.938
Q64213	4041807.547
P47811	2697134.344
G3X8U3	9907860.125
Q3UZ39	3588672.859
Q62376	12406002
Q9Z204	7758339.469
A2AJB7	NA
Q62348	43391623.5
Q9CYG7	4641114.656
A0A0R4J050	4287300.25
Q8VBW6	7442665.969
O88545	10612474.84
P46467	6177066.969
P39447	3958068.039
F8WIP8	NA
P35279	17535651.44
Q9CQI6	678283713.2
Q62384	2629427.086
P28654	16693363.73
Q62189	4915147.063
O35640	18849844.27
P49722	22190365.98
P48428	19850436.14
P42232	8500443.75
Q9WUM4	12901545.34
Q80YC5	2932183.719
Q6P8I4	4132117.391
A0A1B0GSU0	4690215.063
Q921K2	3626584.211
Q9R1P3	9838488.859
Q78IQ7	2792332.188
Q91YQ5	4444707.281
Q9QZ88	19908960.19
E9PY39	45635172.59
P13439	5619126.594
P40936	39303861.41
A0A0A6YY53	12193970.03
Q8BUR4	2882383.445
Q91V89	22433038.77
P28843	3919009.063
Q91VK1	7285200.07
Q9JM14	11946614.03
P63054	82366579.16
P30275	12797236.55
Q99JT9	2328212.547
Q8K182	2976333.766
Q8BH58	4588823.375
Q04750	3788980.572
Q8BIW1	2499942.813
Q8K3H0	10409957.7
Q9Z2K1	152542527.7
Q5SUT0	6993635.969
P48024	1693494.484
Q9JLV1	6690003.922
Q9DCC5	26444095.75
P60766	17480696.53
P00687	NA
P21765	25963136.58
P68372	107494531.9
Q920B9	3988645.734
G5E850	8025120.656
P63328	2537473.563
Q6PAM1	3761366.531
Q9D8S4	7235098.094
Q64520	6835349.125
P56546	5372497.781
P61982	57787733.88
P56212	6418196
Q61805	5434943.313
Q9WTP6	NA
Q9CQW9	3987381.5
Q06770	65462502.16
O89110	6056837.578
P63254	175362436.1
Q99020	22943167.72
Q8C166	6762887.875
P59325	6803374.344
Q60865	4619898.201
P35278	8906399.594
Q8K274	2266472.094
A2ASS6	130754989.3
Q8R0P4	10017090.22
O70310	5277379.531
P09470	1823280.203
A0A0U1RPG8	3188513.063
P31938	4157849.469
P62889	8008508.25
A0A0N4SVS6	28889084.88
H3BJW3	8419229
O55135	7586844
P61082	8361767.719
A3KGV1	NA
F8WJ41	9283404.156
P97379	5825041.57
A2AIM4	60720333.75
