Accession	luminal protein estrus
P14869	29925315.86
Q8BTZ7	10369867.19
Q8BJU0	6404540.426
Q9JL35	4781689.195
Q9JLI8	3448357.719
Q99KB8	2051547.109
Q8BUV3	3371365.969
Q8K010	4191934.294
A7ISP9	10315188.01
P28352	18514718.73
Q6NSR8	9542376.375
P47911	39909147.8
Q8BTS3	6072902.656
P26043	9754239.766
Q9CY64	8100970.438
O70435	37041586.14
P19973	5469927.047
K3W4L3	11581855.11
O08804	4772145.68
Q07456	8735173.742
P08607	3323699.313
Q91V41	6640967
P35980	13330261.25
Q99LD4	6010714.297
P15947	818730.5938
P50404	9241699.492
Q9R0Y5	15561029.41
P56480	5077136.75
Q9DAR7	8892515.422
Q3TML0	18457810.81
P17710	2729784.328
Q91XV3	2170195.406
O88685	8586350.508
Q61074	6978077.906
Q80W21	13961762.08
Q923D2	24190737.86
P17156	5349903.625
P04117	72337218.59
Q9CR00	4936711.93
Q8C7R4	15450233.45
Q9WTQ5	10485704.5
Q62219	19229742.82
Q9R069	1543888.5
P24270	4545290.742
Q8VDK1	3667177
Q922H4	2785254.719
P30681	32215099.31
Q9Z2U0	41699229.2
Q61990	2990666.406
Q9CQC6	28978700.66
Q921F4	11701687.15
Q9Z2N8	1524122.938
Q3TTY5	351229080.7
P42227	6046460.156
O88958	7031801.734
Q99LB4	23547853.06
P62827	50259201.19
Q6P1F6	5968099.164
Q6S9I3	4698806.594
Q8BU85	2758400.219
G3UZ26	6617624.883
Q8BHG1	10203448.5
Q8R050	17201899.74
Q8CG76	9533304.563
F6ZHD8	6802249.969
Q8BGD9	6087383.703
O35887	687597.25
E9Q414	32918019.51
Q8BZW8	4682162.758
P51885	51111774.46
Q9WUM3	14482284.18
Q64726	7759340.469
Q99MD9	3842258.656
Q4VAA2	2175846.328
Q91Z53	8951593.906
P01869	14062785.75
Q9WVJ2	11378610.06
Q9CY58	13726495.1
Q9JIF0	9585416.25
Q9QUM9	30696494.88
Q62446	7153644.813
F7CUP3	6058079.297
P29788	7845379.672
P70372	6608475.512
A0A1L1STE4	4717787.43
Q91V76	11009603.92
P00493	6862823.656
Q9CYR6	8382479.699
Q3TW96	7341156.813
Q9QXT0	2888780.5
P26369	5004105.234
Q9R0P9	1351528.438
G3X9Z5	97067.22656
P22599	222251591.7
Q05BC3	7374459.844
Q6Q899	5363873.313
P34022	18062551.28
P32067	10409828.34
O35744	1754844.07
P61202	6527756.883
Q922F4	6205753.422
Q9EPU0	5907845.031
Q9Z2M7	35855637.09
P97825	3465332.063
Q91W50	3212651.93
P51150	11573838.94
Q9EQ80	6340265.508
P62751	22437313.78
Q06138	7128178.543
Q9CPR4	12103497.84
O89079	21654530.41
P17918	12737050.55
Q8C0C7	29749430.87
P23591	17129763.09
O88456	16365941.28
E9PYI8	9019678.438
Q9JI75	3138017.172
Q62148	16087395.66
Q4FZE8	32323304.48
P26350	6073492.969
P70670	12160731.72
P63242	51342476.06
Q8C7E4	9437095.469
P61087	8470783.719
O09172	4006960.844
Q9QYG0	3277890.625
Q921M3	6985379.234
Q8BH35	5430844.703
Q9R1P1	15443150.77
Q6IRU2	21726538
Q9Z1D1	5342892.297
O35286	20340838.39
Q61655	5646307.547
Q9QZ08	5237603.844
Q8BVE3	2580720.422
Q9WVQ5	9684289.469
O35841	7565392.547
P63073	10060299.72
B1B0C7	271866.3711
Q9QWK4	1534225.422
Q9DBK7	4749048.75
Q9DBG3	5677281.313
Q78ZA7	9131126.828
O70557	44606457.55
Q9CQM9	16681239.97
Q91VH6	7624798.094
Q9D142	3678936.344
Q9QXC1	18296079.33
P97470	890839.4609
Q8BFY9	3118686.406
P62281	17921906.84
Q03265	2801423.156
G3X8T9	19937901.84
Q64467	8266313.094
Q99LB6	16145206.09
Q9CQ19	9618106.281
O54724	8391329.422
Q148R4	36000.36133
P42208	8894195
A0A494B952	14541544.06
P09036	594962.5645
P0DOV1	5836290.082
Q04857	1910052.344
Q8CG72	13489056.45
P63038	10441650.52
Q9DAK9	28160772.2
A0A0R4J049	5873803.219
P46412	21166732.23
Q60631	33276285.89
P00683	NA
Q64674	10416030.22
Q8VCA8	1844116.852
P61164	9102326.594
Q8BTY1	14190736.58
Q8VCT4	13104379.22
Q8K4Z3	14807891.28
Q9CQB8	3614933.701
P43274	21727789.64
Q99KP3	7572173.297
Q07235	4290278
Q7TPV4	1455028.602
P62754	4395504.25
Q9CYT6	1682677.969
P62717	9233246.734
Q99K48	7310037.734
Q62422	3060476.188
Q01405	2462852.086
Q6QR59	7009228.688
D3YUT3	13519313.44
P26231	4161452.828
P54071	28131230.42
Q99KH8	3537432.719
Q9QY48	571033.9063
Q9DCC4	15434487.69
Q9CRB1	2206361.242
Q99L45	6473830.109
P70271	3886298.281
Q9WUK2	12862511.73
Q8CAY6	5061776.156
Q62093	15309685.61
Q9CQV8	68116799.86
E0CXN5	14129395.98
P54823	3022180.086
Q9DCV7	10929522.75
P32848	58176698.23
Q9JMD3	66174873.66
G3UXL2	26065176.66
Q6P1B9	7787398.023
Q9JLQ0	20621782.77
Q9WVJ3	4379328.141
Q99J36	6590821.891
Q9R1P0	19674507.34
P47713	7290737.75
Q9WTI7	2605429.5
P62911	5711051.477
Q9Z0J0	8457131.516
Q9DCT1	7826810.031
P62270	22053581.91
Q9CPU0	35975776.13
A0A0A6YW77	16642582.74
Q8C0E2	1301987.578
P97461	7338895.781
E9QP62	3501584.969
Q8R0A5	11410167.03
Q8C0M9	3694278.641
Q60967	3378855.711
P62264	17497665.92
P40336	6555086.609
P35979	19564763.75
P43276	104868969.1
Q9WTX5	9416873.922
Q8BG13	5228853.547
Q3UP87	1895122.438
G3X8T3	1564823.117
P58389	9934548.063
Q9R1T2	9503180.25
O35295	10721105.55
P45591	11353119.09
O08663	6569168
Q9DAW9	1737749.5
F8WI14	5654249.547
Q8C878	2854119
Q8JZR2	5308705.594
P16460	44948083.31
Q921M7	4841570.172
O54988	1972971.875
Q9D2V7	2073487.188
Q1HFZ0	4534501.844
Q9WUB3	2036984.859
A2AUD5	3400128.719
Q08091	3901515.266
P62918	12813290.27
O88947	3842752.406
P54728	23840144.91
P26443	5366832.961
Q61656	2681870.18
P61358	19596846.81
Q8BP48	3724794.391
Q8VDM6	2808392.219
O08795	15832811.39
Q3TGS7	57659572.4
P08121	1582418.469
P28660	6498488.383
Q6A028	4923439.938
P49443	2889681.625
Q61205	567067915.4
P35123	3979058.438
Q8BWT1	1052347.016
Q9ET01	6437003.859
Q9EQU5	35960191.75
P34914	5838258.711
Q9CZ42	6056824.188
Q542V3	2392188.859
Q3UXL1	3025638.492
Q9WTX6	2259179.875
P35505	1612856.266
Q9D0A3	7799854.391
P14206	40454296.75
P70202	3562939.313
Q9DAU7	6650015.313
Q9CR51	3304703.719
P11859	9368831.125
P70697	2282126.672
Q3UEB3	4077665.219
Q9JKX6	1281838.781
Q9Z185	41994236.61
Q60829	50381005.3
Q60737	1930185.825
Q9CWZ3	4218178.688
Q8CGA0	951784.5381
Q9DBZ5	2997438.563
P03987	4894759.313
Q91XU3	1826762.547
P01837	8753800.436
Q9QYC0	1564308.188
Q9CXA2	1696825.047
Q8R1F1	5792628.402
E9PUM4	166400.5469
Q6PDI5	2002563.348
P62317	5451815.766
P46638	31180257.56
P45700	431384.9063
P49710	2043824.875
Q99LD8	12444871.5
E9Q7G0	308743.2344
P16110	5105824.039
Q9CQM5	20192414.2
P05202	7093673.406
